name_of_law_firm ,address,location, no_of_partners,phone,website_url
"Atkinson, Andelson, Loya, Ruud & Romo","12800 Center Court Drive, Suite 300","Cerritos, California 90703",134,562-653-3200,http://www.aalrr.com/
Atkinson Brittingham Gladd Fiasco & Edmonds PC,1500 ParkCentre 525 South Main,"Tulsa, Oklahoma 74103",13,918-582-8877,https://abg-oklaw.com/
Atlas Hall & Rodriguez LLP,818 Pecan Ave,"McAllen, Texas 78501",20,956-682-5501,http://www.atlashall.com/
AT Law Group,"3 Park Ln Blvd,
Suite 1500 West","Dearborn, Michigan 48126",4,800-285-2996,http://atlawgroup.com
Attorney Sullivan & Associates LLC,"2821 N. Halsted Street, #1","Chicago, Illinois 60657",,312-725-9724,https://www.sullivan.associates/
Atwood Malone Turner & Sabin PA,400 North Pennsylvania Ave Suite 1100,"Roswell, New Mexico 88201-8820",7,575-622-6221,http://atwoodmalone.com
Auman Mahan & Furry,"110 North Main Street, Suite 1000","Dayton, Ohio 45402",6,937-223-6003,http://www.amfdayton.com/
Ausley & McMullen,123 South Calhoun Street,"Tallahassee, Florida 32301",30,850-224-9115,http://www.ausley.com
Austill Lewis Pipkin & Maddox PC,"600 Century Park South, Ste. 100","Birmingham, Alabama 35226",8,205-870-3767,http://maplaw.com
Avek IP,"8900 State Line Road
Suite 500","Leawood, Kansas 66206",15,913-549-4700,http://kcpatentlaw.com
Avila Rodriguez Hernandez Mena & Garro LLP,"2525 Ponce de Leon Boulevard,
Penthouse 12th Floor","Coral Gables, Florida 33134-6049",16,305-779-3560,https://avilalaw.com/
Avisen Legal PA,"901 Marquette Avenue South
Suite 1675","Minneapolis, Minnesota 55402",6,612-584-3400,http://avisenlegal.com
"Axinn, Veltrop & Harkrider LLP",114 West 47th Street,"New York, New York 10036",34,212-728-2200,http://www.axinn.com/
Axley Brynelson LLP,"2 E Mifflin Street, Suite 200","Madison, Wisconsin 53703",48,608-257-5661,http://www.axley.com/
AXS Law Group PLLC,"2121 NW 2nd Avenue, Suite 201","Miami, Florida 33127",6,305 297-1878,http://axslawgroup.com
AXS LAW Group PLLC,"2121 NW 2nd Avenue, Suite 201","Miami, Florida 33127",,305-297-1878,https://www.axslawgroup.com/
Ayres Jenkins Gordy & Almand PA,6200 Coastal Highway Suite 200,"Ocean City, Maryland 21842-2184",8,410-723-1400,http://ajgalaw.com
Ayres Shelton Williams Benson & Paine LLC,"14th Floor, Regions Tower
333 Texas Street","Shreveport, Louisiana 71101",7,318-227-3500,http://arklatexlaw.com
A Y Strauss,"101 Eisenhower Parkway, Suite 412","Roseland, New Jersey 07068",9,973-287-0966,https://www.aystrauss.com/
"Aziz Law Firm, P.A.",1804 East Boulevard,"Charlotte, North Carolina 28203",,704-347-1808,https://azizimmigrationlaw.com/
"Baab & Denison, L.L.P.","6301 Gaston Ave., Suite 1403","Dallas, Texas 75214",,214-637-0750,https://baabdenison.com/
"Babst, Calland, Clements & Zomnir, P.C.","Two Gateway Center, 603 Stanwix Street, 6th Floor","Pittsburgh, Pennsylvania 15222",68,412-394-5400,http://www.babstcalland.com/
Bacon Wilson,33 State Street,"Springfield, Massachusetts 01103",20,413-781-0560,http://www.baconwilson.com/
Bagwell Holt Smith PA,111 Cloister Court Ste 200,"Chapel Hill, North Carolina 27514",5,919-401-0062,http://bhspa.com
Bailes Craig & Sellards PLLC,"401 10th Street, Suite 500 The St. James Building","Huntington, West Virginia 25701-2570",9,304-697-4700,https://bcsfirm.com/
"Bailes, Craig, & Sellards, PLLC","401 10th Street, Suite 500","Huntington, West Virginia 25701",,304-697-4700,https://bcsfirm.com/
"Bailey Cavalieri, LC","One Columbus, 10 West Broad Street, Suite 2100","Columbus, Ohio 43215-4321",31,614-221-3155,http://baileycav.com/
Bailey Cowan Heckaman PLLC,"1360 Post Oak Blvd., Suite 2300","Houston, Texas 77056",3,713-425-7100,http://bpblaw.com
"Bailey & Dixon, L.L.P.","434 Fayetteville Street, Suite 2500","Raleigh, North Carolina 27601",9,919-828-0731,http://bdixon.com
Bailey Duquette PC,"104 Charlton Street, 1-W","New York, New York 10014",19,212-658-1946,http://baileyduquette.com
Bailey & Galyen Attorneys at Law,1901 Airport Fwy.,"Bedford, Texas 76021",17,844-402-3900,http://www.galyen.com/
Bailey & Glasser LLP,209 Capitol Street,"Charleston, West Virginia 25301",,304-345-6555,https://www.baileyglasser.com/
"Bailey & Glasser, LLP",209 Capitol Street,"Charleston, West Virginia 25301",51,304-345-6555,http://baileyglasser.com/
Bailey Kennedy LLP,8984 Spanish Ridge Ave,"Las Vegas, Nevada 89148-1302",6,702-562-8820,http://baileykennedy.com
Bailey & Oliver Law Firm,"3606 W Southern Hills Blvd, Ste. 200","Rogers, Arkansas 72758",,479-202-5200,https://www.baileyoliverlawfirm.com/
"Bailey & Wyant, PLLC","500 Virginia St. E., Suite 600","Charleston, West Virginia 25301",18,304-345-4222,http://baileywyant.com/
Baird & Baird PSC,"162 Second Street
P.O. Box 351","Pikeville, Kentucky 41502",10,606-437-6276,http://bairdandbaird.com
Baird Crews Schiller & Whitaker PC,15 N. Main Street,"Temple, Texas 76501",6,254-743-7300,http://bcswlaw.com
"Baird Holm, LLP","1700 Farnam Street, Suite 1500","Omaha, Nebraska 68102-2068",69,402-344-0500,https://www.bairdholm.com/
Baird Mandalas Brockstedt & Federico,"2711 Centerville Rd., Suite #401","Wilmington, Delaware 19808",13,302-327-1100,http://bmbde.com
Baker Botts LLP,910 Louisiana Street,"Houston, Texas 77002-4995",212,713-229-1234,http://www.bakerbotts.com
Baker Braverman & Barbadoro PC,300 Crown Colony Dr #500,"Quincy, Massachusetts 02169",7,781-848-9610,http://bbb-lawfirm.com
Baker Castro & Steinback LLC,"303 West Madison Street
Suite 700","Chicago, Illinois 60603-6060",10,312-855-9300,http://bclawllc.com
Baker Donelson Bearman Caldwell & Berkowitz PC,"165 Madison Avenue, Suite 2000","Memphis, Tennessee 38103",313,901-526-2000,http://www.bakerdonelson.com/
Baker & Hostetler LLP,"127 Public Square, Suite 2000","Cleveland, Ohio 44114",498,216-621-0200,http://www.bakerlaw.com
Baker Manock & Jensen,"Fig Garden Financial Center, 5260 N. Palm Ave., Suite 201","Fresno, California 93704-2209",10,559-432-5400,http://www.bakermanock.com/
Baker McKenzie,"300 East Randolph Street, Suite 5000","Chicago, Illinois 60601",315,312-861-8000,http://www.bakermckenzie.com/
Baker Ravenel & Bender LLP,"3710 Landmark Drive, Suite 400","Columbia, South Carolina 29204",3,803-799-9091,http://brblegal.com
Baker Sterchi Cowden & Rice LLC,2400 Pershing Road Suite 500,"Kansas City, Missouri 64108",45,816-471-2121,http://www.bscr-law.com/
Baker Wotring LLP,"JPMorgan Chase Tower, Suite 6400
600 Travis Street","Houston, Texas 77002",3,713-980-1700,https://www.bakerwotring.com/
Bakke Norman Law Offices SC,2919 Schneider Ave SE PO Box 280,"Menomonie, Wisconsin 54751-5475",6,715-235-9016,http://bakkenorman.com
Balch & Bingham LLP,"1901 Sixth Avenue North, Suite 1500","Birmingham, Alabama 35203",133,205-251-8100,http://www.balch.com/
Balcomb & Green PC,818 Colorado Ave.,"Glenwood Springs, Colorado 81601",3,970-945-6546,http://www.balcombgreen.com
Balestriere Fariello,"225 Broadway, 29th Floor","New York, New York 10007",3,212-374-5400,http://balestrierefariello.com
Ballard Rosenberg Golper & Savitt LLP,"15760 Ventura Boulevard, 18th Floor","Encino, California 91436",10,818-508-3700,http://www.brgslaw.com/
Ballard Spahr LLP,"1735 Market Street, 51st Floor","Philadelphia, Pennsylvania 19103-7599",222,215-665-8500,http://ballardspahr.com/
"Ball, Ball, Matthews & Novak, P.A.",445 Dexter Avenue Suite 9045,"Montgomery, Alabama 36104-3775",20,334-387-7680,http://www.ball-ball.com/
"Ball Janik, LLP",201 East Pine Street Suite 600,"Orlando, Florida 32801",5,407-455-5664,http://balljanik.com/
Ball Morse Lowe PLLC,3201 S Berry Rd,"Norman, Oklahoma 73072",9,405-701-5355,https://www.ballmorselowe.com/
Ballon Stoll PC,"729 Seventh Avenue, 17th Floor","New York, New York 10019",10,212-575-7900,http://ballonstoll.com
Ball Santin & McLeran PLC,"2999 North 44th Street, Suite 500","Phoenix, Arizona 85018",5,602-840-1400,http://www.bsmplc.com/
Bangs McCullen Law Firm,"333 West Blvd, Suite 400","Rapid City, South Dakota 57701",10,605-343-1040,http://bangsmccullen.com
Banker Lopez Gassler PA,501 E. Kennedy Boulevard Suite 1700,"Tampa, Florida 33602",65,813-221-1500,http://www.bankerlopez.com/
Banner & Witcoff LTD,"71 South Wacker Drive, Suite 3600","Chicago, Illinois 60606",80,312-463-5000,http://bannerwitcoff.com
Barack Ferrazzano Kirschbaum & Nagelberg LLP,"200 West Madison Street, Suite 3900","Chicago, Illinois 60606",91,312-984-3100,http://www.bfkn.com/
"Barber, Banaszynski & Hiatt, PSC","802 Lily Creek Rd, Suite 101","Louisville, Kentucky 40243",,502-254-2110,http://www.bbalaw.com/
"Barber & Bartz, PC","525 South Main Street, Suite 800","Tulsa, Oklahoma 74103",12,918-599-7755,http://www.barberbartz.com/
Barber Emerson LC,"1211 Massachusetts St.
P.O. Box 667","Lawrence, Kansas 66044-3351",6,785-843-6600,http://barberemerson.com
Barber Law Firm,"425 West Capitol Avenue, Suite 3400","Little Rock, Arkansas 72201",10,501-372-6175,http://barberlawfirm.com/
Barclay Damon LLP,125 East Jefferson Street,"Syracuse, New York 13202",159,315-425-2700,http://barclaydamon.com/
"Barclay Legal, PLC","2 N. Central Avenue, Suite 1800","Phoenix, Arizona 85004",,602-283-1036,https://www.barclaylegal.com/
Bardacke Allison LLP,141 E Palace Avenue,"Santa Fe, New Mexico 87501",,505-995-8000,https://bardackeallison.com/
Barg Coffin Lewis & Trapp LLP,"600 Montgomery Street, Suite 525","San Francisco, California 94111",5,415-228-5400,http://www.bargcoffin.com/
"Barg Coffin Lewis & Trapp, LLP","600 Montgomery Street, Suite 525","San Francisco, California 94111",,415-228-5400,https://www.bargcoffin.com/
"Barkan Meizlish, LLP","250 East Broad Street, 10th Floor","Columbus, Ohio 43215-4321",4,614-221-4221,http://barkanmeizlish.com/
Barkley T. Miller,"12900 Preston Rd, Suite 907","Dallas, Texas 75230",,972-934-0178,https://barkleytmillerlaw.com/
Barley Snyder,126 East King Street,"Lancaster, Pennsylvania 17602",62,717-299-5201,http://www.barley.com/
"Barlow Garsek & Simon, LLP","100 Lexington St., Suite 151","Fort Worth, Texas 76102",,817-731-4500,https://bgsfirm.com/
"Barna, Guzy & Steffen, Ltd.","200 Coon Rapids Boulevard Northwest, #400","Coon Rapids, Minnesota 55433",16,763-780-8500,http://www.bgs.com
Barnard Iglitzin & Lavitt LLP,"18 West Mercer Street, Suite 400","Seattle, Washington 98119",6,800-238-4231,http://workerlaw.com
Barnes Alford Stork & Johnson LLP,1613 Main Street,"Columbia, South Carolina 29201",9,803-799-1111,http://barnesalford.com
Barnes Maloney PLLC,"1600 ONE RIVERFRONT PLAZA, 401 WEST MAIN STREET","Louisville, Kentucky 40202",9,502-583-4777,http://sbmkylaw.com
Barnes Richardson & Colburn LLP,100 William St Ste 305,"New York, New York 10016-1001",6,212-725-0200,http://barnesrichardson.com
Barnes & Thornburg LLP,11 South Meridian Street,"Indianapolis, Indiana 46204-3535",493,317-236-1313,https://www.btlaw.com/
Barnett & Rubin,5450 Trabuco Road,"Irvine, California 92620",,949-261-9700,https://barnettrubin.com/
Barnhouse Keegan Solimon & West LLP,"7424 4th St NW, Los Ranchos De","Albuquerque, New Mexico 87107",5,505-842-6123,http://indiancountrylaw.com
"Barnwell Whaley Patterson & Helms, LC","211 King Street, Suite 300","Charleston, South Carolina 29401",12,843-577-7700,http://barnwell-whaley.com/
"Baron & Budd, PC",3102 Oak Lawn Ave #1100,"Dallas, Texas 75219",30,214-521-3605,http://baronandbudd.com/
Barone Defense Firm,280 N Old Woodward Ave #200,"Birmingham, Michigan 48009",2,248-306-9158,https://www.baronedefensefirm.com/
Barrack Rodos & Bacine,"Two Commerce Square, 2001 Market Street, Suite 3300","Philadelphia, Pennsylvania 19103",13,215-963-0600,http://barrack.com/
"Barran Liebman, LLP","601 SouthWest 2nd Avenue, Suite 2300","Portland, Oregon 97204",14,503-228-0500,http://barran.com/
"Barrasso Usdin Kupperman Freeman & Sarver, LLC","909 Poydras Street, Suite 2350","New Orleans, Louisiana 70112",16,504-589-9700,https://www.barrassousdin.com/
Barrett & Davis,"733 West Market Street, Suite 104","Akron, Ohio 44303",,330-762-6281,https://td-law.com/
Barrett McNagny LLP,215 East Berry Street,"Fort Wayne, Indiana 46802",26,260-423-9551,http://barrettlaw.com
Barrett Twomey Broom Hughes & Hoke LLP,100 N Illinois Ave,"Carbondale, Illinois 62901",4,618-457-0437,http://btbhh.com
"Barrick, Switzer, Long, Balsley & Van Evera, LLP",6833 Stalter Drive,"Rockford, Illinois 61108",12,815-962-6611,http://www.bslbv.com/
Barris Sott Denn & Driker PLLC,"333 W Fort Street, Suite 1200","Detroit, Michigan 48226",13,313-965-9725,http://www.bsdd.com/
Barron Peck Bennie & Schlemmer Co LPA,3074 Madison Road,"Cincinnati, Ohio 45209",17,513-721-1350,http://bpbslaw.com
"Barrow & Grimm, PC",110 West Seventh Street Suite 900,"Tulsa, Oklahoma 74119",11,918-584-1600,http://barrowgrimm.com/
Barry McTiernan & Moore LLC,101 Greenwich Street 14th Floor,"New York, New York 10006",15,212-313-3600,http://mctiernanlaw.com/
Barst Mukamal & Kleiner LLP,2 Park Avenue,"New York, New York 10016",4,646-679-4980,https://barstlaw.com/
"Barth, Ballenger & Lewis, L.L.P.",205 N Irby St.,"Florence, South Carolina 29501",,843-662-6301,https://www.bbllawsc.com/
BarthCalderon LLP,City Tower 333 City Blvd W Ste 2050,"Orange, California 92868-9286",7,714-704-4828,http://barthattorneys.com
Bartko Zankel Bunzel & Miller,"One Embarcadero Center,Suite 800","San Francisco, California 94111",21,415-956-1900,http://www.bzbm.com/
Bartlett LLP,3 Huntington Quadrangle Suite 304S,"Melville, New York 11747",21,516-877-2900,http://www.bmmllp.com/
Bartlett Loeb Hinds & Thompson,"100 North Tampa St
Suite 2050","Tampa, Florida 33602",9,813-223-3888,https://blhtlaw.com/
"Bartlett Pontiff Stewart & Rhodes, PC",1 Washington St,"Glens Falls, New York 12801 2963",17,518-792-2117,http://www.bpsrlaw.com/
Bartlit Beck LLP,"Courthouse Place, 54 West Hubbard Street","Chicago, Illinois 60654",75,312-494-4400,http://www.bartlit-beck.com
Barton Benson Jones PLLC,"745 E. Mulberry Avenue, Suite #550","San Antonio, Texas 78212",7,210-610-5335,http://bartonbensonjones.com
"Barton Gilman, LLP","One Financial Plaza
18th Floor","Providence, Rhode Island 02903",25,401-273-7171,https://www.bglaw.com/
"Barton, LLP","711 Third Avenue
14th Floor","New York, New York 10017",26,212-687-6262,http://bartonesq.com/
Barulich Dugoni & Suttmann,"577 Airport Boulevard
Suite 400","Burlingame, California 94010",6,650-292-2900,https://www.bdslawinc.com/
"Bass, Berry & Sims PLC","150 Third Avenue South, Suite 2800","Nashville, Tennessee 37201",162,615-742-6200,http://www.bassberry.com/
Bass Doherty & Finks PC,1380 Soldiers Field Road,"Boston, Massachusetts 02135-1023",4,617-787-5551,http://www.bassdoherty.com/
Bassford Remele PA,"Fifth Street Towers
100 South 5th Street, Suite 1500","Minneapolis, Minnesota 55402",29,612-333-3000,https://www.bassford.com/
Bast Amron LLP,"One Southeast Third Avenue, Suite 2410","Miami, Florida 33131",6,305-379-7904,http://bastamron.com
Bateman Seidel Miner Blomgren Chellis & Gram PC,"1000 SW Broadway
Suite 1910","Portland, Oregon 97205",6,503-972-9920,http://batemanseidel.com
"Bates Carey, LLP","191 North Upper Wacker, Suite 2400","Chicago, Illinois 60606",32,312-762-3100,http://www.batescarey.com/
"Bates & Garcia, P.C.","201 North Charles Street, Suite 1900","Baltimore, Maryland 21201",,410-814-4600,http://www.batesgarcia.com/
Bathgate Wegener & Wolf PC,1 Airport Road,"Lakewood, New Jersey 08701-0870",8,732-363-0666,http://www.bathweg.com/
Batson Nolan PC,121 South 3rd Street,"Clarksville, Tennessee 37040-3403",12,931-647-1501,http://batsonnolan.com
"Battaglia Ross Dicus & McQuaid, P.A.",5858 Central Avenue,"St. Petersburg, Florida 33707",8,727-381-2300,https://www.stpetelawgroup.com/
"Batten Lee, PLLC",4141 Parklake Avenue #350,"Raleigh,, North Carolina 27612",,919-439-2221,https://www.battenlee.com/
Batten McLamb Smith PLLC,4141 Parklake Ave Ste 350,"Raleigh, North Carolina 27612",8,919-439-2221,http://battenlee.com
Battle Winslow,2343 Professional Dr PO Box 7100,"Rocky Mount, North Carolina 27804-0100",7,252-937-2200,http://bwsw.com
"Battle, Winslow, Scott & Wiley, P.A.",2343 Professional Drive,"Rocky Mount, North Carolina 27804",,252-937-2200,https://bwsw.com/
Baty Otto Coronado Scheer PC,"4435 Main Street, Suite 1100","Kansas City, Missouri 64111",15,816-531-7200,https://batyotto.com/
"Bauer Moynihan Johnson, LLP","2101 Fourth Avenue, Suite 2400","Seattle, Washington 98121-2324",10,206-443-3400,http://bmjlaw.wpengine.com/
Bauman Loewe Witt & Maxwell PLLC,"8765 East Bell Road, Suite 210","Scottsdale, Arizona 85260",9,480-502-4664,http://www.blwmlawfirm.com/
BaumannKangas Estate Law,"201 E Kennedy Blvd, Suite 830","Tampa, Florida 33602",,813-223-2202,https://www.estatelawflorida.com/
,,,,,
"Baxter Baker Sidle Conn & Jones, P.A.",120 East Baltimore Street,"Baltimore, Maryland 21202",8,410-230-3800,http://www.bbsclaw.com/
"Baxter & Baxter, LLP","8835 SW Canyon Lane, Suite 130","Portland, Oregon 97225",,503-297-9031,https://www.baxterlaw.com/
Baxter & Smith PC,"99 N. Broadway, Hicksville, NY 11801","Hicksville, New York 11801",8,516-997-7330,http://bssnylaw.com
"Bayard, P.A.","600 N. King Street, Suite 400","Wilmington, Delaware 19899",12,302-655-5000,http://www.bayardlaw.com
"Bayliff, Harrigan, Cord, Maugans & Cox, P.C.",319 North Main Street,"Kokomo, Indiana 46901",,765-274-0517,https://www.bhcmlaw.com/
"Baylor Evnen Wolfe & Tannehill, LLP",1248 O STREET SUITE 600,"Lincoln, Nebraska 68508",12,402-475-1075,http://www.baylorevnen.com/
BBC Law LLP,"2005 Market Street
19th Floor, Suite 1940","Philadelphia, Pennsylvania 19103",27,215-977-4133,http://bbclawfirm.com
BBDG Law,15316 North Florida Ave,"Tampa, Florida 33613",12,813-221-3759,https://bbdglaw.com/
BDG Law Group,"10880 Wilshire Blvd., Suite 1015","Los Angeles, California 90024",3,310-470-6110,http://www.bdgfirm.com/
Beach Law Group LLP,500 East Esplanade Drive Suite 1400,"Oxnard, California 93036-9303",4,805-388-3100,https://www.beachlawgroup.com/
Bean Kinney & Korman PC,"2311 Wilson Boulevard
Suite 500","Arlington, Virginia 22201",33,703-525-4000,http://www.beankinney.com/
Beard Kultgen Brophy Bostwick & Dickson PLLC,220 South Fourth St.,"Waco, Texas 76701",14,254-776-5500,http://thetexasfirm.com
"Beard St. Clair Gaffney, PA",2105 Coronado Street,"Idaho Falls, Idaho 83404",11,208-523-5171,http://www.beardstclair.com/
Beasley Allen Law,218 Commerce Street,"Montgomery, Alabama 36104",72,800-898-2034,http://www.beasleyallen.com/
"Beattie B. Ashmore, Attorney at Law",650 E. Washington Street,"Greenville, South Carolina 29601",,864-467-1001,https://beattieashmore.com/
Beattie Padovano LLC,"200 Market Street, Suite 401","Montvale, New Jersey 07645",14,201-573-1810,http://www.beattielaw.com/
Beatty & Wozniak PC,"216 16th St., Suite 1100","Denver, Colorado 80202",16,303-407-4499,http://www.bwenergylaw.com/
"Beavers Law, LLC",4301 Dolly Ridge Road,"Birmingham, Alabama 35243",,205-580-1185,https://www.beaverslawllc.com/
